record,start_time_hours,n_beats,median_offset_ms,p95_abs_offset_ms,max_abs_offset_ms
stream_p00000_000098,16.333333,696,0.000000,0.000000,4.000000
stream_p00000_000099,16.500000,677,0.000000,0.000000,0.000000
stream_p00000_000100,16.666667,720,0.000000,0.000000,80.000000
stream_p00000_000101,16.833333,705,0.000000,0.000000,48.000000
stream_p00000_000102,17.000000,698,0.000000,0.000000,4.000000
stream_p00000_000103,17.166667,685,0.000000,0.000000,0.000000
stream_p00000_000104,17.333333,697,0.000000,0.000000,0.000000
stream_p00000_000105,17.500000,693,0.000000,0.000000,0.000000
stream_p00000_000106,17.666667,680,0.000000,0.000000,0.000000
stream_p00000_000107,17.833333,686,0.000000,0.000000,0.000000
stream_p00000_000108,18.000000,689,0.000000,0.000000,0.000000
stream_p00000_000109,18.166667,672,0.000000,0.000000,0.000000
stream_p00000_000110,18.333333,706,0.000000,0.000000,0.000000
stream_p00000_000111,18.500000,696,0.000000,0.000000,0.000000
stream_p00000_000112,18.666667,673,0.000000,0.000000,0.000000
stream_p00000_000113,18.833333,672,0.000000,0.000000,0.000000
stream_p00000_000114,19.000000,697,0.000000,0.000000,0.000000
stream_p00000_000115,19.166667,886,0.000000,0.000000,80.000000
stream_p00000_000116,19.333333,736,0.000000,0.000000,68.000000
stream_p00000_000117,19.500000,832,0.000000,0.000000,72.000000
stream_p00000_000118,19.666667,933,0.000000,0.000000,64.000000
stream_p00000_000119,19.833333,845,0.000000,0.000000,0.000000
stream_p00000_000120,20.000000,827,0.000000,0.000000,0.000000
stream_p00000_000121,20.166667,849,0.000000,0.000000,4.000000
stream_p00000_000122,20.333333,859,0.000000,0.000000,0.000000
stream_p00000_000123,20.500000,914,0.000000,0.000000,80.000000
stream_p00000_000124,20.666667,929,0.000000,0.000000,72.000000
stream_p00000_000125,20.833333,832,0.000000,0.000000,0.000000
stream_p00000_000126,21.000000,915,0.000000,0.000000,80.000000
stream_p00000_000127,21.166667,934,0.000000,0.000000,64.000000
stream_p00000_000128,21.333333,905,0.000000,0.000000,0.000000
stream_p00000_000129,21.500000,899,0.000000,0.000000,0.000000
stream_p00000_000130,21.666667,841,0.000000,0.000000,4.000000
stream_p00000_000131,21.833333,743,0.000000,0.000000,4.000000
stream_p00000_000132,22.000000,852,0.000000,0.000000,80.000000
stream_p00000_000133,22.166667,1109,0.000000,0.000000,68.000000
stream_p00000_000134,22.333333,1068,0.000000,0.000000,80.000000
stream_p00000_000135,22.500000,1037,0.000000,0.000000,68.000000
stream_p00000_000136,22.666667,977,0.000000,0.000000,56.000000
